Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,Reel,Rotation,,ID,Head,Height
C1 ,603,100.841,35.058,100.841,35.058,100.841,35.058,T,-90,0.1uF,2,-90,0,1,1,0.5
C10 ,603,110.4168,2.2666,110.4168,2.2666,110.4168,2.2666,T,-90,0.1uF,2,-90,0,2,1,
C11 ,603,98.174,34.55,98.174,34.55,98.174,34.55,T,0,12pF,1,0,90,3,1,
C12 ,603,27.435,13.214,27.435,13.214,27.435,13.214,T,-90,0.1uF,2,-90,0,4,1,
C13 ,603,6.734,35.693,6.734,35.693,6.734,35.693,T,0,10uF,6,0,90,5,1,
C14 ,603,42.04,29.851,42.04,29.851,42.04,29.851,T,-90,0.1uF,2,-90,0,6,1,
C15 ,603,30.483,17.278,30.483,17.278,30.483,17.278,T,90,0.1uF,2,90,180,7,1,
C16 ,603,30.483,13.214,30.483,13.214,30.483,13.214,T,90,0.1uF,2,90,180,8,1,
C17 ,603,11.052,35.185,11.052,35.185,11.052,35.185,T,0,0.1uF,2,0,90,9,1,
C18 ,603,26.3428,37.9536,26.3428,37.9536,26.3428,37.9536,T,0,0.1uF,2,0,90,10,1,
C19 ,805,95.761,30.232,95.761,30.232,95.761,30.232,T,180,22uF,5,180,270,11,1,
C2 ,805,104.524,31.756,104.524,31.756,104.524,31.756,T,0,10uF,6,0,90,12,1,
C20 ,603,33.531,11.182,33.531,11.182,33.531,11.182,T,90,0.1uF,2,90,180,13,1,
C21 ,603,52.454,28.835,52.454,28.835,52.454,28.835,T,180,0.1uF,2,180,270,14,1,
C22 ,603,28.451,34.55,28.451,34.55,28.451,34.55,T,0,0.1uF,2,0,90,15,1,
C23 ,603,34.674,35.312,34.674,35.312,34.674,35.312,T,-90,0.1uF,2,-90,0,16,1,
C24 ,603,36.198,11.69,36.198,11.69,36.198,11.69,T,180,0.1uF,2,180,270,17,1,
C25 ,603,51.311,34.55,51.311,34.55,51.311,34.55,T,180,12pF,1,180,270,18,1,
C26 ,805,97.793,30.232,97.793,30.232,97.793,30.232,T,180,22uF,5,180,270,19,1,
C27 ,805,93.729,30.232,93.729,30.232,93.729,30.232,T,180,22uF,5,180,270,20,1,
C3 ,805,87.633,33.9912,87.633,33.9912,87.633,33.9912,T,180,22uF,5,180,270,21,1,
C4 ,805,90.3,30.0288,90.3,30.0288,90.3,30.0288,T,90,10uF,6,90,180,22,1,
C5 ,603,59.693,35.058,59.693,35.058,59.693,35.058,T,90,12pF,1,90,180,23,1,
C6 ,603,26.3428,34.931,26.3428,34.931,26.3428,34.931,T,0,0.1uF,2,0,90,24,1,
C7 ,805,106.429,31.756,106.429,31.756,106.429,31.756,T,0,10uF,6,0,90,25,1,
C8 ,603,71.504,11.944,71.504,11.944,71.504,11.944,T,180,0.1uF,2,180,270,26,1,
